Index	Barcode Index	Forward	Reverse	FA ID	FA ID2	Sample	MiseqName	SampleName	DNA Sample	Starting material	DNA extraction kit	1st PCR primer	Run	Site	Sampling	SoilSample	KitSample
4	4	F701	D704	8E	E8	M16.PB.A2SS20.A1	M16-PB-A2SS20-A1	M16-PB-A2SS20-A1	PB.A2SS20.A1	Soil	PB-A	M16s	Miseq3	A2	SS20	A2-SS20	A2-PB-A
5	5	F701	D705	8D	D8	M16.PB.A2SS20.B1	M16-PB-A2SS20-B1	M16-PB-A2SS20-B1	PB.A2SS20.B1	Soil	PB-B	M16s	Miseq3	A2	SS20	A2-SS20	A2-PB-B
7	7	F701	D707	8B	B8	M16.PB.A2SS80.A1	M16-PB-A2SS80-A1	M16-PB-A2SS80-A1	PB.A2SS80.A1	Soil	PB-A	M16s	Miseq3	A2	SS80	A2-SS80	A2-PB-A
8	8	F701	D709	8A	A8	F701.D709	F701-D709	M16-PB-A2SS80-B1	PB.A2SS80.B1	Soil	PB-B	M16s	Miseq3	A2	SS80	A2-SS80	A2-PB-B
13	11	D501	D703	12F	F12	M16.PB.B2SS20.A1	M16-PB-B2SS20-A1	M16-PB-B2SS20-A1	PB.B2SS20.A1	Soil	PB-A	M16s	Miseq3	B2	SS20	B2-SS20	B2-PB-A
14	12	D501	D704	12E	E12	D501.D704	D501-D704	M16-PB-B2SS20-B1	PB.B2SS20.B1	Soil	PB-B	M16s	Miseq3	B2	SS20	B2-SS20	B2-PB-B
97	97	D505	D710			M16-PB-B2SS80-A1	M16-PB-B2SS80-A1	M16-PB-B2SS80-A1	PB-B2SS80-A1	Soil	PB-A	M16s	Miseq4	B2	SS80	B2-SS80	B2-PB-A
16	14	D501	D706	12C	C12	D501.D706	D501-D706	M16-PB-B2SS80-B1	PB.B2SS80.B1	Soil	PB-B	M16s	Miseq3	B2	SS80	B2-SS80	B2-PB-B
29	19	D502	D703	6F	F6	M16.PB.B6SS20.A1	M16-PB-B6SS20-A1	M16-PB-B6SS20-A1	PB.B6SS20.A1	Soil	PB-A	M16s	Miseq3	B6	SS20	B6-SS20	B6-PB-A
98	98	D506	D710			M16-PB-B6SS20-B1	M16-PB-B6SS20-B1	M16-PB-B6SS20-B1	PB-B6SS20-B1	Soil	PB-B	M16s	Miseq4	B6	SS20	B6-SS20	B6-PB-B
31	21	D502	D705	6D	D6	M16.PB.B6SS80.A1	M16-PB-B6SS80-A1	M16-PB-B6SS80-A1	PB.B6SS80.A1	Soil	PB-A	M16s	Miseq3	B6	SS80	B6-SS80	B6-PB-A
32	22	D502	D706	6C	C6	M16.PB.B6SS80.B1	M16-PB-B6SS80-B1	M16-PB-B6SS80-B1	PB.B6SS80.B1	Soil	PB-B	M16s	Miseq3	B6	SS80	B6-SS80	B6-PB-B
37	27	D503	D703	10F	F10	M16.PB.E1SS20.A1	M16-PB-E1SS20-A1	M16-PB-E1SS20-A1	PB.E1SS20.A1	Soil	PB-A	M16s	Miseq3	E1	SS20	E1-SS20	E1-PB-A
38	28	D503	D704	10E	E10	M16.PB.E1SS20.B1	M16-PB-E1SS20-B1	M16-PB-E1SS20-B1	PB.E1SS20.B1	Soil	PB-B	M16s	Miseq3	E1	SS20	E1-SS20	E1-PB-B
39	29	D503	D705	10D	D10	M16.PB.E1SS80.A1	M16-PB-E1SS80-A1	M16-PB-E1SS80-A1	PB.E1SS80.A1	Soil	PB-A	M16s	Miseq3	E1	SS80	E1-SS80	E1-PB-A
40	30	D503	D706	10C	C10	D503.D706	D503-D706	M16-PB-E1SS80-B1	PB.E1SS80.B1	Soil	PB-B	M16s	Miseq3	E1	SS80	E1-SS80	E1-PB-B
93	93	D501	D710			M16-PB-E7SS20-A1	M16-PB-E7SS20-A1	M16-PB-E7SS20-A1	PB-E7SS20-A1	Soil	PB-A	M16s	Miseq4	E7	SS20	E7-SS20	E7-PB-A
94	94	D502	D710			M16-PB-E7SS20-B1	M16-PB-E7SS20-B1	M16-PB-E7SS20-B1	PB-E7SS20-B1	Soil	PB-B	M16s	Miseq4	E7	SS20	E7-SS20	E7-PB-B
95	95	D503	D710			M16-PB-E7SS80-A1	M16-PB-E7SS80-A1	M16-PB-E7SS80-A1	PB-E7SS80-A1	Soil	PB-A	M16s	Miseq4	E7	SS80	E7-SS80	E7-PB-A
96	96	D504	D710			M16-PB-E7SS80-B1	M16-PB-E7SS80-B1	M16-PB-E7SS80-B1	PB-E7SS80-B1	Soil	PB-B	M16s	Miseq4	E7	SS80	E7-SS80	E7-PB-B
55	43	D505	D703	9F	F9	M16.PB.F1SS20.A1	M16-PB-F1SS20-A1	M16-PB-F1SS20-A1	PB.F1SS20.A1	Soil	PB-A	M16s	Miseq3	F1	SS20	F1-SS20	F1-PB-A
56	44	D505	D704	9E	E9	M16.PB.F1SS20.B1	M16-PB-F1SS20-B1	M16-PB-F1SS20-B1	PB.F1SS20.B1	Soil	PB-B	M16s	Miseq3	F1	SS20	F1-SS20	F1-PB-B
57	45	D505	D705	9D	D9	M16.PB.F1SS80.A1	M16-PB-F1SS80-A1	M16-PB-F1SS80-A1	PB.F1SS80.A1	Soil	PB-A	M16s	Miseq3	F1	SS80	F1-SS80	F1-PB-A
58	46	D505	D706	9C	C9	D505.D706	D505-D706	M16-PB-F1SS80-B1	PB.F1SS80.B1	Soil	PB-B	M16s	Miseq3	F1	SS80	F1-SS80	F1-PB-B
